T02,"Population, density and surface area",,,,,
604,Peru,2022,Population mid-year estimates (millions),34.05,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
458,Malaysia,2022,Population mid-year estimates (millions),33.94,Projected estimate (medium fertility variant).;Including Sabah and Sarawak.,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
887,Yemen,2022,Population mid-year estimates (millions),33.7,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
288,Ghana,2022,Population mid-year estimates (millions),33.48,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
508,Mozambique,2022,Population mid-year estimates (millions),32.97,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
524,Nepal,2022,Population mid-year estimates (millions),30.55,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
450,Madagascar,2022,Population mid-year estimates (millions),29.61,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
862,Venezuela (Boliv. Rep. of),2022,Population mid-year estimates (millions),28.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
384,Côte d’Ivoire,2022,Population mid-year estimates (millions),28.16,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
120,Cameroon,2022,Population mid-year estimates (millions),27.91,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
562,Niger,2022,Population mid-year estimates (millions),26.21,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
36,Australia,2022,Population mid-year estimates (millions),26.18,"Projected estimate (medium fertility variant).;Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
408,Dem. People's Rep. Korea,2022,Population mid-year estimates (millions),26.07,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
158,Other non-specified areas,2022,Population mid-year estimates (millions),23.89,"For statistical purposes, the data for China do not include this area.;Projected estimate (medium fertility variant).","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
854,Burkina Faso,2022,Population mid-year estimates (millions),22.67,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
466,Mali,2022,Population mid-year estimates (millions),22.59,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
760,Syrian Arab Republic,2022,Population mid-year estimates (millions),22.13,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
144,Sri Lanka,2022,Population mid-year estimates (millions),21.83,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
454,Malawi,2022,Population mid-year estimates (millions),20.41,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
894,Zambia,2022,Population mid-year estimates (millions),20.02,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
642,Romania,2022,Population mid-year estimates (millions),19.66,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
152,Chile,2022,Population mid-year estimates (millions),19.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
398,Kazakhstan,2022,Population mid-year estimates (millions),19.4,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
218,Ecuador,2022,Population mid-year estimates (millions),18,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
320,Guatemala,2022,Population mid-year estimates (millions),17.84,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
148,Chad,2022,Population mid-year estimates (millions),17.72,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
706,Somalia,2022,Population mid-year estimates (millions),17.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
528,Netherlands (Kingdom of the),2022,Population mid-year estimates (millions),17.56,"Projected estimate (medium fertility variant).;For statistical purposes, the data for Netherlands do not include Aruba, Bonaire, Sint Eustatius and Saba, Curaçao, and Sint Maarten (Dutch part).","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
686,Senegal,2022,Population mid-year estimates (millions),17.32,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
116,Cambodia,2022,Population mid-year estimates (millions),16.77,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
716,Zimbabwe,2022,Population mid-year estimates (millions),16.32,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
324,Guinea,2022,Population mid-year estimates (millions),13.86,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
646,Rwanda,2022,Population mid-year estimates (millions),13.78,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
204,Benin,2022,Population mid-year estimates (millions),13.35,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
108,Burundi,2022,Population mid-year estimates (millions),12.89,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
788,Tunisia,2022,Population mid-year estimates (millions),12.36,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
68,Bolivia (Plurin. State of),2022,Population mid-year estimates (millions),12.22,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
56,Belgium,2022,Population mid-year estimates (millions),11.66,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
332,Haiti,2022,Population mid-year estimates (millions),11.59,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
400,Jordan,2022,Population mid-year estimates (millions),11.29,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
214,Dominican Republic,2022,Population mid-year estimates (millions),11.23,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
192,Cuba,2022,Population mid-year estimates (millions),11.21,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
728,South Sudan,2022,Population mid-year estimates (millions),10.91,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
752,Sweden,2022,Population mid-year estimates (millions),10.55,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
203,Czechia,2022,Population mid-year estimates (millions),10.49,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
340,Honduras,2022,Population mid-year estimates (millions),10.43,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
300,Greece,2022,Population mid-year estimates (millions),10.39,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
31,Azerbaijan,2022,Population mid-year estimates (millions),10.36,Projected estimate (medium fertility variant).;Including Nagorno-Karabakh.,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
620,Portugal,2022,Population mid-year estimates (millions),10.27,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
598,Papua New Guinea,2022,Population mid-year estimates (millions),10.14,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
348,Hungary,2022,Population mid-year estimates (millions),9.97,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
762,Tajikistan,2022,Population mid-year estimates (millions),9.95,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
112,Belarus,2022,Population mid-year estimates (millions),9.54,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
784,United Arab Emirates,2022,Population mid-year estimates (millions),9.44,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
376,Israel,2022,Population mid-year estimates (millions),9.04,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
40,Austria,2022,Population mid-year estimates (millions),8.94,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
768,Togo,2022,Population mid-year estimates (millions),8.85,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
756,Switzerland,2022,Population mid-year estimates (millions),8.74,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
694,Sierra Leone,2022,Population mid-year estimates (millions),8.61,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
418,Lao People's Dem. Rep.,2022,Population mid-year estimates (millions),7.53,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
344,"China, Hong Kong SAR",2022,Population mid-year estimates (millions),7.49,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
688,Serbia,2022,Population mid-year estimates (millions),7.22,Projected estimate (medium fertility variant).;Excluding Kosovo.,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
558,Nicaragua,2022,Population mid-year estimates (millions),6.95,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
434,Libya,2022,Population mid-year estimates (millions),6.81,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
100,Bulgaria,2022,Population mid-year estimates (millions),6.78,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
600,Paraguay,2022,Population mid-year estimates (millions),6.78,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
417,Kyrgyzstan,2022,Population mid-year estimates (millions),6.63,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
795,Turkmenistan,2022,Population mid-year estimates (millions),6.43,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
222,El Salvador,2022,Population mid-year estimates (millions),6.34,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
702,Singapore,2022,Population mid-year estimates (millions),5.98,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
178,Congo,2022,Population mid-year estimates (millions),5.97,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
208,Denmark,2022,Population mid-year estimates (millions),5.88,"Projected estimate (medium fertility variant).;For statistical purposes, the data for Denmark do not include Faroe Islands, and Greenland.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
703,Slovakia,2022,Population mid-year estimates (millions),5.64,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
140,Central African Republic,2022,Population mid-year estimates (millions),5.58,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
246,Finland,2022,Population mid-year estimates (millions),5.54,Projected estimate (medium fertility variant).;Including Åland Islands.,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
422,Lebanon,2022,Population mid-year estimates (millions),5.49,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
578,Norway,2022,Population mid-year estimates (millions),5.43,Projected estimate (medium fertility variant).;Including Svalbard and Jan Mayen Islands.,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
430,Liberia,2022,Population mid-year estimates (millions),5.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
275,State of Palestine,2022,Population mid-year estimates (millions),5.25,Projected estimate (medium fertility variant).;Including East Jerusalem.,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
554,New Zealand,2022,Population mid-year estimates (millions),5.19,"Projected estimate (medium fertility variant).;For statistical purposes, the data for New Zealand do not include Cook Islands, Niue, and Tokelau.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
188,Costa Rica,2022,Population mid-year estimates (millions),5.18,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
372,Ireland,2022,Population mid-year estimates (millions),5.02,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
478,Mauritania,2022,Population mid-year estimates (millions),4.74,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
512,Oman,2022,Population mid-year estimates (millions),4.58,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
591,Panama,2022,Population mid-year estimates (millions),4.41,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
414,Kuwait,2022,Population mid-year estimates (millions),4.27,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
191,Croatia,2022,Population mid-year estimates (millions),4.03,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
268,Georgia,2022,Population mid-year estimates (millions),3.74,Projected estimate (medium fertility variant).;Including Abkhazia and South Ossetia.,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
232,Eritrea,2022,Population mid-year estimates (millions),3.68,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
858,Uruguay,2022,Population mid-year estimates (millions),3.42,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
496,Mongolia,2022,Population mid-year estimates (millions),3.4,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
498,Republic of Moldova,2022,Population mid-year estimates (millions),3.27,Projected estimate (medium fertility variant).;Including the Transnistria region.,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
630,Puerto Rico,2022,Population mid-year estimates (millions),3.25,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
70,Bosnia and Herzegovina,2022,Population mid-year estimates (millions),3.23,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
8,Albania,2022,Population mid-year estimates (millions),2.84,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
388,Jamaica,2022,Population mid-year estimates (millions),2.83,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
51,Armenia,2022,Population mid-year estimates (millions),2.78,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
440,Lithuania,2022,Population mid-year estimates (millions),2.75,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
270,Gambia,2022,Population mid-year estimates (millions),2.71,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
634,Qatar,2022,Population mid-year estimates (millions),2.7,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
72,Botswana,2022,Population mid-year estimates (millions),2.63,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
516,Namibia,2022,Population mid-year estimates (millions),2.57,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
266,Gabon,2022,Population mid-year estimates (millions),2.39,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
426,Lesotho,2022,Population mid-year estimates (millions),2.31,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
705,Slovenia,2022,Population mid-year estimates (millions),2.12,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
624,Guinea-Bissau,2022,Population mid-year estimates (millions),2.11,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
807,North Macedonia,2022,Population mid-year estimates (millions),2.09,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
428,Latvia,2022,Population mid-year estimates (millions),1.85,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
226,Equatorial Guinea,2022,Population mid-year estimates (millions),1.67,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
780,Trinidad and Tobago,2022,Population mid-year estimates (millions),1.53,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
48,Bahrain,2022,Population mid-year estimates (millions),1.47,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
626,Timor-Leste,2022,Population mid-year estimates (millions),1.34,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
233,Estonia,2022,Population mid-year estimates (millions),1.33,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
